"ProcessName","Samples","Minutes","Hours"
"chrome","154","25,7","0,43"
"Code","10","1,7","0,03"
"powershell","2","0,3","0,01"
"ShellExperienceHost","1","0,2","0"
"explorer","1","0,2","0"
